Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2025-01-09 19:30:00,AltoScheda Giorno 4,5m,Alzate di Gambe alla Macchina,1,0.0,20,0,0,,,
2025-01-09 19:30:00,AltoScheda Giorno 4,5m,Alzate di Gambe alla Macchina,2,0.0,20,0,0,,,
2025-01-09 19:30:00,AltoScheda Giorno 4,5m,Alzate di Gambe alla Macchina,3,0.0,20,0,0,,,
2025-01-09 19:30:00,AltoScheda Giorno 4,5m,Alzate di Gambe alla Macchina,4,0.0,20,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Rematore a Una Mano con Manubrio,1,20.0,12,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Rematore a Una Mano con Manubrio,2,20.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Rematore a Una Mano con Manubrio,3,20.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Rematore a Una Mano con Manubrio,4,20.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Trazioni alla Sbarra,1,0.0,6,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Trazioni alla Sbarra,2,0.0,6,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Pulley Seduto Cable Machine,1,50.0,12,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Pulley Seduto Cable Machine,2,50.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Pulley Seduto Cable Machine,3,55.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Pulley Seduto Cable Machine,4,61.0,8,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Lat Pull-Downs al Cavo Alto a Presa Stretta,1,50.0,12,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Lat Pull-Downs al Cavo Alto a Presa Stretta,2,55.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Lat Pull-Downs al Cavo Alto a Presa Stretta,3,60.0,10,0,0,,,
2025-01-07 19:28:00,AltoScheda Giorno 1,59m,Lat Pull-Downs al Cavo Alto a Presa Stretta,4,60.0,8,0,0,,,
